Depmap ID,Expression Public 23Q2,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000001,0.3673710656485294,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000002,0.2387868595871164,HL60,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000003,1.1043366598147355,CACO2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000004,3.350497247084133,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000005,3.926948247949772,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000006,0.1243281350022017,MONOMAC6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000007,0.1634987322828795,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000008,0.6040713236688608,A101D,Melanoma,Skin,Melanoma
ACH-000009,0.2509615735332188,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000011,0.1890338243900171,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000012,4.327687364176047,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000013,0.7484612330040357,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000014,1.0,HS294T,Melanoma,Skin,Melanoma
ACH-000015,0.070389327891398,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000016,0.5058909297299572,SLR21,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000017,1.7739963251111732,SKBR3,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000018,4.280956313831056,T24,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,0.2630344058337938,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000020,1.0426443374084935,MHHCALL2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
